Id,ΔTmrt,ΔTs,ΔUHI,vertohor,blddensity,bldheight
1,11.10180439197012,-2.2699880918040733,-0.09704798052459579,0.0571897998452186,0.0591407008469104,6.15384615385
2,10.551173461707435,-2.9103699261805787,-0.09461745771808407,0.10934299975633618,0.0911813005805015,6.0
5,11.206282505476068,-2.0871070406160257,-0.09565743575823546,0.0482846982777118,0.0330770015716552,6.0
6,10.92669164884876,-2.7848777581790287,-0.1540817119891869,0.0390084981918335,0.0403918996453285,6.31914893617
11,10.661997831529433,-2.9208260884884396,-0.11104410256408244,0.0812868028879165,0.0653576031327247,5.84892086331
13,10.308362067697388,-3.1513492764722884,-0.09104825513065293,0.1438080072402954,0.1175580024719238,6.0
14,10.748927663958327,-2.709744670870464,-0.09385553796011833,0.0934410020709037,0.1273310035467148,6.0
20,10.039944494386717,-3.749676217422575,-0.11515616351077257,0.1352919936180115,0.0926565006375312,6.50649350649
21,9.587508487206463,-4.119726116402887,-0.11080335240666842,0.1806769967079163,0.0629345029592514,12.3966942149
22,8.76392581370527,-4.688026365598873,-0.08651295130246123,0.3968360126018524,0.1818310022354126,11.9409448819
23,9.621164443010272,-4.14594520198407,-0.11872927614085427,0.1623049974441528,0.0532242991030216,15.8210526316
24,9.780207481370013,-3.355467076914806,-0.07796739342470287,0.2283719927072525,0.0693529024720192,14.3863636364
30,10.122669951218768,-3.081463279022671,-0.08273669378035604,0.1640190035104752,0.0516667999327182,15.0
34,9.53905663798838,-4.5092158195478405,-0.13634069078094627,0.1552979946136475,0.0724662020802497,11.8636363636
35,9.837140983037315,-3.297754899741811,-0.07382497165278894,0.2565549910068512,0.1475909948348999,10.515625
36,9.903424128127249,-3.023545107564537,-0.06531069740211988,0.2693420052528381,0.1286440044641495,12.5714285714
37,9.622093687372121,-3.2990121668166523,-0.06529226988909897,0.3268660008907318,0.1538259983062744,14.962962963
38,10.97834998508214,-1.9664473308974024,-0.06818976410427523,0.0862298011779785,0.030419899150729103,13.105263157900001
44,10.447448025280323,-2.7480571699946097,-0.07972057793809312,0.133200004696846,0.0560191012918949,8.46700507614
46,9.561068902028666,-4.421955427308866,-0.1238787113533249,0.1744090020656586,0.10513400286436078,7.226666666670001
47,9.995409991394112,-3.110777557400354,-0.08039600278358987,0.1774799972772598,0.0420334003865718,15.1463414634
48,11.075702655430263,-2.449542292573568,-0.1269492093197414,0.0409255996346473,0.0329307988286018,6.0
49,9.30567883510615,-4.727621718825425,-0.1288618236713262,0.1930550038814545,0.089311696588993,11.6586826347
50,8.509786746288754,-4.837616020357402,-0.08270944025842655,0.4670259952545166,0.1935900002717972,15.6025104603
51,8.836073167863155,-4.289060161138686,-0.07413543913261265,0.4415450096130371,0.1739519983530045,10.888
52,10.047398197528992,-3.17771404031636,-0.08152441245830175,0.1844370067119598,0.0712848007678985,14.625
53,11.04944724910709,-2.3097192013837002,-0.10082242132278338,0.0556166991591453,0.0351585000753402,8.67692307692
59,9.170988549945832,-4.834904059035779,-0.13963258434698106,0.1800040006637573,0.0496115013957023,14.9739130435
60,10.413048275326645,-2.941225599890849,-0.09745444486270571,0.10545200109481809,0.0326814018189907,13.875
67,9.778407097946086,-3.920801279548577,-0.10162931102423445,0.1899230033159256,0.1371729969978333,6.0
70,9.516887441609079,-4.175854409050892,-0.1140767822047678,0.1764159947633743,0.0491059012711048,23.2741935484
71,10.01882510940824,-3.1721359438482892,-0.07835734848710273,0.199864000082016,0.0844290032982826,10.8495145631
