Id,ΔTmrt,ΔTs,ΔUHI,vertohor,blddensity,bldheight
1,12.253623768744873,-0.727668584823995,-0.11137427249065487,0.0180335007607936,0.08409039676189418,4.2
2,12.296789036996955,-0.5768325394663023,-0.03158600827281549,0.021442199125885898,0.0676657035946846,7.0
7,10.61396324147357,-2.2951777168229768,-0.03594081140428301,0.1533699929714203,0.0327178016304969,20.4285714286
8,9.719886148549193,-4.0757772781387445,-0.09706275412086524,0.1630290001630783,0.0466113984584808,15.6705882353
9,9.32357027300533,-4.448367863006986,-0.09353193151021816,0.2145339995622635,0.053583499044179896,17.0917431193
10,9.207530196037915,-4.259017888028353,-0.06920329567641184,0.2855269908905029,0.0676831007003784,25.09375
11,10.507213328398528,-2.499353140792479,-0.04217459232405929,0.1525789946317673,0.0341431014239788,25.7441860465
12,9.441693796421134,-4.238440898947239,-0.08011976407076324,0.2321709990501404,0.0715479999780654,15.6971830986
13,8.294107634836045,-4.795327703805761,-0.04950771945272453,0.5760759711265564,0.145347997546196,19.1659919028
14,8.616365777469909,-4.4822444427009245,-0.0611470344476715,0.4000970125198364,0.056284599006175905,31.3333333333
16,10.00311602450246,-3.003911013163986,-0.049752054223266895,0.1912900060415268,0.0314767993986606,27.163636363599995
17,8.926064173631396,-4.188515077537183,-0.05730959339135214,0.3610329926013947,0.0592260994017124,29.359550561799995
18,10.177450482484765,-3.174818836959872,-0.06519725974701396,0.1523510068655014,0.0390336997807025,18.2168674699
19,10.660984690536857,-2.3669166137207043,-0.04021701478778067,0.1419979929924011,0.0446060001850128,13.823529411800001
20,11.321338019026406,-1.714411519071085,-0.037648744402465184,0.0703461021184921,0.0338288992643356,11.0425531915
21,11.222296146072743,-1.5044008615015159,-0.015590713644689003,0.10753200203180309,0.0493731983006,10.3943661972
24,8.808406109579458,-4.175387546355282,-0.04841803241716042,0.4307459890842438,0.0752417966723442,35.8469387755
25,10.32231282172777,-3.094814491393606,-0.06295509070162567,0.1486179977655411,0.0580694004893302,15.9868421053
26,10.781102065983916,-2.603541821839258,-0.062242123170188735,0.0998442992568016,0.04906290024518959,12.789473684199999
31,9.826523829012586,-3.988737865586586,-0.08529818023136218,0.1787019968032837,0.0840474963188171,15.1339285714
33,10.91274781113389,-2.2546217743167247,-0.04960556714514536,0.0957510992884635,0.03547890111804,12.262499999999998
34,9.224737533891755,-3.733918368669549,-0.039238903456601776,0.4363679885864258,0.1747779995203018,9.39630681818
39,9.009323636234221,-4.645917654616184,-0.0734739396266946,0.3257069885730743,0.1146640032529831,13.2780269058
41,10.448384310466452,-3.0271589535122274,-0.07313347383561583,0.115385003387928,0.0383510999381542,16.5576923077
42,10.348511447999435,-2.7614365859219774,-0.05018192131784838,0.1542599946260452,0.0365901999175548,16.1170212766
43,11.347650298828945,-1.6770457896645325,-0.033648820665234724,0.0764475017786026,0.0505228005349636,10.5818181818
44,8.784183039142583,-4.281380398977525,-0.04960867518075435,0.4469789862632751,0.0958812981843948,24.5526315789
49,8.99096304120733,-4.318871795703501,-0.0530578290472713,0.4132190048694611,0.1711589992046356,11.913738019200002
50,9.316510742251026,-3.980902400863542,-0.07267982251526436,0.2345219999551773,0.0337886996567249,30.7118644068
53,9.166857712941173,-3.5101015062287573,-0.03553067387372266,0.4174630045890808,0.0691355019807815,30.0803571429
56,10.860720413935297,-2.4419015857561632,-0.060779125569472625,0.0891842022538185,0.0335991010069847,7.95652173913
57,8.801265390124136,-4.4284932019105625,-0.061532730425563925,0.3803670108318329,0.0712118968367576,22.3071428571
58,9.405176004251452,-3.3496907006567653,-0.03992146490678289,0.3242630064487457,0.0465214997529983,39.3181818182
59,9.724819413646543,-3.933237903056657,-0.081528165608475,0.1901029944419861,0.0594483986496925,12.3072289157
61,9.266390090318886,-4.022005337209791,-0.05601174584854601,0.3338119983673096,0.099720798432827,14.831775700900002
62,9.543521146209947,-3.608297279278574,-0.04865580101181877,0.3121629953384399,0.1000759974122047,11.5072992701
63,10.377856153769812,-3.449387983395283,-0.11161659717484443,0.0900349989533424,0.0359159000217914,6.97826086957
65,10.153174601182613,-2.8212086322397028,-0.04066724205457706,0.2113099992275238,0.0554657988250255,19.0485436893
66,10.409876230951724,-2.301800291743916,-0.023467422215494083,0.2431180030107498,0.1058230027556419,12.882352941200002
72,9.466887306140457,-3.992348228439056,-0.06899087871085405,0.2461030036211014,0.0617328993976116,20.7878787879
73,11.119572707355047,-2.105086844317796,-0.04770593152008479,0.0853646993637085,0.0646649003028869,9.36842105263
77,9.297360676554668,-4.306200322790161,-0.07715546648983701,0.2586440145969391,0.0712585970759391,13.1907216495
78,9.780407293351416,-3.835515689544728,-0.07534851817347982,0.1988279968500137,0.0722069963812828,10.4673913043
79,10.556392440243258,-2.7185446620567006,-0.05449311758147252,0.1325989961624146,0.0515533983707428,13.6714285714
80,9.857979877970571,-3.3138794946030146,-0.05294143551574382,0.22532400488853446,0.0557724982500076,16.0510948905
82,9.597900366556907,-3.648850758078197,-0.049420338483585596,0.3029110133647919,0.1206550002098083,15.8657718121
87,8.887480867061718,-4.284313797727634,-0.06063531799300392,0.3543600142002106,0.05760819837450979,30.4363636364
88,9.175477462980304,-3.7039185293715775,-0.04703342969579216,0.3464879989624023,0.0511504001915454,29.2
89,8.11272057268247,-4.6692358612399545,-0.03814988270336053,0.7250959873199463,0.201667994260788,12.5851528384
92,10.431758054004277,-3.186019849566243,-0.07580131393874487,0.1243479996919632,0.0712125971913337,7.92307692308
93,10.039360064254353,-3.0521328886044827,-0.0420033743362751,0.24556900560855874,0.0983377993106842,14.4
96,10.589391439662847,-2.923763273147074,-0.07348825709146453,0.1046800017356873,0.0449512004852294,17.4230769231
98,9.671078968047084,-4.238952771627218,-0.0900150224866205,0.1968419998884201,0.1090639978647232,6.348
99,9.762677632019958,-3.8917456810102564,-0.07697848209518085,0.19905200600624076,0.0754024013876915,11.3620689655
103,9.463817715297537,-3.995790536748409,-0.0638177486713592,0.2775129973888397,0.09732809662818902,10.6911196911
104,8.660888142731075,-4.451837255071304,-0.053847738331900985,0.461912989616394,0.1004860028624535,14.8899082569
105,8.792479097402484,-4.385145990792353,-0.05725008645364463,0.4073390066623688,0.0829026028513908,19.6930693069
108,10.653720361276783,-3.189742575245603,-0.1045432804182127,0.0793066024780273,0.0659931004047393,9.29032258065
109,11.765882049344327,-1.5926516384028062,-0.118653423079318,0.0260438993573188,0.0754714980721473,6.0
110,11.046232820679847,-2.722489018648467,-0.10190558543246656,0.0560331009328365,0.1262570023536682,6.0
