Id,ΔTmrt,ΔTs,ΔUHI,vertohor,blddensity,bldheight
3,13.900574345802482,-3.848731172384319,-0.10305885922383418,0.2433329969644547,0.0601008981466293,18.5533980583
4,15.059411493587014,-3.008969243791743,-0.11967308980430502,0.0972711965441703,0.0384136997163295,13.9523809524
5,15.823457295988412,-1.8865988009320205,-0.07126826992329605,0.0864942967891693,0.0305327996611595,9.08391608392
6,14.380448487896594,-3.8207418188506033,-0.13379862640996443,0.1459310054779053,0.0510771982371807,12.6796875
7,13.45619914325902,-4.451221685576051,-0.11693406029001885,0.2788020074367523,0.0694893971085548,18.2260273973
10,13.796548214264163,-4.256682303632598,-0.12795787428598437,0.2108159959316254,0.053693201392889,15.25
13,14.578479080241344,-3.462899375574434,-0.12794400689804064,0.1245379969477654,0.0314140990376472,16.4
15,14.413806079504276,-3.622117386105831,-0.11925618556748142,0.1570969969034195,0.0467658005654811,15.0285714286
18,16.02106001618973,-1.7204286812659149,-0.0635759896755399,0.0882048979401588,0.0504744015634059,6.23076923077
29,13.200114927096443,-3.267197082895599,-0.06612488844343646,0.4806900024414062,0.0449156984686851,55.34375
31,13.508181200384804,-3.4982855588931727,-0.08288632946740117,0.3092449903488159,0.0340600982308387,49.0862068966
32,13.571520632935183,-4.043054843957666,-0.10763545310679135,0.2565540075302124,0.0444320999085903,28.25
37,13.43242286398754,-3.5982623179314146,-0.0686417939427173,0.5131319761276245,0.1389729976654053,17.6732673267
40,14.009541812440723,-2.873565091169805,-0.06388472177166628,0.3070720136165619,0.055317498743534,30.8571428571
41,13.954224645186763,-3.9437647721285813,-0.10212183407369402,0.2595759928226471,0.0937846973538398,19.4819277108
44,14.648874768040834,-2.918184729748628,-0.0804799654557691,0.1941040009260178,0.0667285993695259,23.625
45,13.473849186534217,-3.9311947032247296,-0.08762606527264795,0.3601950109004974,0.0923679992556572,23.5285714286
47,14.365876694720257,-3.7529453625150495,-0.11201402515403024,0.1915670037269592,0.0938697010278701,12.8
48,15.390978266957987,-2.5906940982495428,-0.10898271279186034,0.0792630985379219,0.037508700042963,12.0714285714
49,13.205338586766473,-3.9241017475447855,-0.08620141827924144,0.3840810060501099,0.0550263002514839,35.3265306122
50,14.692096793692976,-2.8410065640374,-0.07362335934152142,0.2188089936971664,0.1006160005927086,14.9150943396
51,15.03690292658915,-2.6933664692116004,-0.08495779113283673,0.1394000053405762,0.06438460201025,13.2631578947
