Id,ΔTmrt,ΔTs,ΔUHI,vertohor,blddensity,bldheight
5,10.38953556051483,-4.229993685000004,-0.10929107157692308,0.185455993,0.041024499,13.34765625
6,9.718978785308693,-4.761040133461542,-0.09842308292307694,0.295576006,0.05761120100000001,14.72222222
7,9.751335764572232,-5.127075487692309,-0.1063676459230769,0.27926001,0.09112779800000001,34.77906977
9,11.736691141589311,-1.8099009238461576,-0.04733237534615384,0.189313993,0.0872242,8.807228916
10,10.566331746639598,-4.396042632692307,-0.11494291246153848,0.181415007,0.113141999,8.618852459
11,8.286982183312361,-4.058108998076925,0.006868264115384659,2.033629894,0.331869006,16.23976868
12,8.872307557087343,-3.257983850769236,0.006707262230769229,2.122819901,0.321945995,25.54521277
13,8.651333283619117,-5.550947866923082,-0.07342513230769238,0.613776982,0.158961996,20.11656442
15,9.414893674657094,-5.130474678846156,-0.08489195580769232,0.423723996,0.188166007,10.67832168
16,8.041175617306294,-5.117343510769231,-0.03437185557692313,1.19690001,0.22700899800000002,16.18110236
17,9.140612872205256,-2.8706065411538475,0.029743149346153797,2.572309971,0.361465007,20.34133092
18,8.527273423204932,-4.770075398461543,-0.05054759984615387,0.900862992,0.127179995,31.31486146
19,12.368313160801733,-1.3706476773076943,-0.047872287115384604,0.101398997,0.045915902,8.57480315
23,11.418274400987407,-2.979465098076922,-0.08011524396153849,0.143507004,0.116507001,7.739361702
24,11.217357935215404,-3.6142925976923053,-0.11487647780769225,0.113541998,0.079832502,9.467889908
25,9.05741864109303,-5.216842918461538,-0.07575817807692309,0.522172987,0.153504997,17.8
26,8.935304669102607,-3.1282733323076855,0.018033453076923056,2.621659994,0.315196007,27.67552776
27,8.498089032286252,-3.7911231023076937,-0.007711019346153869,2.102880001,0.205806002,44.35609756
28,11.58329349592703,-3.068552480000001,-0.1113713489230769,0.08332779999999998,0.04857770000000001,9.392857143
30,11.27567131913996,-3.0214227446153856,-0.08543363723076927,0.134129003,0.0387199,12.58273381
31,10.80261369270655,-3.966403272692311,-0.1023309300769231,0.172815993,0.102283001,9.385964912
32,10.930446887405587,-3.5469960911538436,-0.09344700892307695,0.161874995,0.054442201,11.89090909
33,10.5635555504494,-4.269475141538457,-0.12190292746153844,0.155230001,0.046298999,17.73417722
34,10.52980262429842,-4.3256724800000015,-0.11755459292307696,0.16874599500000004,0.059551001,14.20512821
35,10.425978357513962,-4.565262317692309,-0.1132992906538462,0.199077994,0.125461996,12.53642384
