blddensity,bldheight,vertohor,grasscover,hour,Id,treecover,Tmrt_shortwave,Tmrt_longwave,Tmrt_combined,Tmrt0_blddensity,Tmrt0_bldheight,Tmrt0_vertohor,Tmrt0_grasscover,Tmrt0_treecover,Tmrt00,Eshort00,Elong00
0.0525517985224723,13.3902439024,0.104593999683857,0.328538669068,13,4,0.321337178612,71.55917080275168,57.34843654996803,70.38595194453472,63.74233270932041,63.745095030701805,63.61293866024312,62.19407200280574,58.66492622189787,46.62055644802234,141.7886643042154,475.8020079873346
0.0374175012111663,22.9852941176,0.1590149998664856,0.298121508644,13,9,0.294521508644,68.95258308317824,54.90808005274317,67.58464262048818,63.74101013564104,63.74468373879876,61.31054538706235,59.8504351340402,56.43930452027769,46.62055644802234,141.7886643042154,475.8020079873346
0.0843821987509727,12.103960396,0.2449869960546494,0.114225607397,13,10,0.110625607398,70.8403641509691,56.56385886196756,68.83141037419301,63.74467612683878,63.74872420232754,60.81299193538905,60.135508042974834,58.80242750874152,46.62055644802234,141.7886643042154,475.8020079873346
0.038849301636219,9.14285714286,0.0762365981936454,0.176643159513,13,17,0.176643159513,74.24312831929137,59.95411454705368,72.87462447136221,63.74114736365584,63.74236570431765,63.92402013536537,63.2679135861427,61.48663631522504,46.62055644802234,141.7886643042154,475.8020079873346
0.0677450001239776,6.08411214953,0.0742854997515678,0.144880709019,13,21,0.138580460609,75.38143009808209,61.01718607877575,73.96814696874299,63.74349169290804,63.74460016625483,64.54514742625094,63.99500421570707,62.59966311778874,46.62055644802234,141.7886643042154,475.8020079873346
0.0521495006978511,17.0192307692,0.1890909969806671,0.0489962424053,13,25,0.0489962424053,72.42830577793876,58.15300544648545,70.41271441345702,63.74230034575913,63.74596623101405,61.20658574142499,60.950123857672224,60.39767903996841,46.62055644802234,141.7886643042154,475.8020079873346
0.0727661028504371,15.6896551724,0.2705270051956177,0.0479702797205,13,26,0.0425702797205,70.70470482022813,56.4730993828249,68.5065082182482,63.74385553405921,63.748607020904615,59.71523053205664,59.427708355446384,58.91734125373705,46.62055644802234,141.7886643042154,475.8020079873346
0.0488619990646839,26.5285714286,0.2024260014295578,0.0493092094766,13,27,0.0484092094766,71.74904154260526,57.52549840621646,69.7111804437726,63.74203140833004,63.74769732347704,60.60654863920786,60.34463997146855,59.7939378350477,46.62055644802234,141.7886643042154,475.8020079873346
0.141962006688118,16.7692307692,0.4838860034942627,0.0813207876405,13,28,0.0813207876405,65.72970539948449,51.77714757564928,63.45824843020097,63.7486258487744,63.75977811056549,56.007017537999104,55.40252307399652,54.29866635646272,46.62055644802234,141.7886643042154,475.8020079873346
0.0452549010515213,16.8053097345,0.1738090068101883,0.059296419264,13,29,0.058396419264,72.45193167136023,58.199415521203264,70.50263992062327,63.74172577477856,63.74484291683319,61.32064518089157,61.02133443557221,60.371133184484,46.62055644802234,141.7886643042154,475.8020079873346
