blddensity,bldheight,vertohor,grasscover,hour,Id,treecover,Tmrt_shortwave,Tmrt_longwave,Tmrt_combined,Tmrt0_blddensity,Tmrt0_bldheight,Tmrt0_vertohor,Tmrt0_grasscover,Tmrt0_treecover,Tmrt00,Eshort00,Elong00
0.0393934994935989,12.8780487805,0.0774200037121772,0.245059905131,11,2,0.323438694698,76.43135018286335,60.65466777213652,75.28255374508859,69.40639992174243,69.40618452272946,69.34314749085229,68.36675494096903,61.96000479701172,51.67206222456491,256.32585888225526,432.83328469706186
0.0707126036286354,13.56,0.1134070008993149,0.261483928958,11,5,0.204626686373,77.9132605450016,62.24859132762043,76.52896844421656,69.4077482606545,69.40714732816201,69.24237838256738,67.97567560473391,63.815660268462864,51.67206222456491,256.32585888225526,432.83328469706186
0.0913617983460426,15.7113402062,0.1728630065917969,0.359770288279,11,6,0.367334256127,72.54334529587726,56.960192499977154,71.4788698045989,69.40841473211538,69.40741887185357,68.35019632133702,66.24593830962084,58.17033936326686,51.67206222456491,256.32585888225526,432.83328469706186
0.1623950004577637,11.6949152542,0.244265004992485,0.225519079369,11,7,0.268540051159,73.78087258530985,58.19591915014848,72.25379656629923,69.41035116572885,69.40870168688758,67.6243818538278,66.0235279633145,59.92366870658634,51.67206222456491,256.32585888225526,432.83328469706186
0.1086829975247383,16.9591836735,0.2431450039148331,0.273243537053,11,12,0.250318052263,73.44659109780622,57.97993048505776,71.93130904143322,69.4089192345939,69.4075607594649,67.12311041718857,65.3016499824165,59.69291492614241,51.67206222456491,256.32585888225526,432.83328469706186
0.1488000005483627,13.2406015038,0.2844359874725342,0.194628180586,11,13,0.184506801878,74.55538493714869,59.0815800239219,72.75442850563303,69.40999881110395,69.4083582822878,66.72698223404069,65.30257041425688,61.11141636231992,51.67206222456491,256.32585888225526,432.83328469706186
0.1013009995222092,16.9626168224,0.2416110038757324,0.270780966724,11,14,0.32745849059,71.80231714865084,56.2861744627923,70.41591685006648,69.40870858253754,69.40747283635869,67.03701252927664,65.25073154693854,57.85699987110905,51.67206222456491,256.32585888225526,432.83328469706186
0.0885912030935287,6.22131147541,0.1450749933719635,0.259000233981,11,18,0.359718484156,74.17916510975823,58.386976583154535,72.9407058673541,69.40833031707632,69.4078994077588,68.87102624723968,67.46405220045864,59.79438966659546,51.67206222456491,256.32585888225526,432.83328469706186
0.030375899747014,13.6153846154,0.0668691024184227,0.234768726066,11,19,0.240196473678,78.08272827013752,62.43911344199762,76.89037698410982,69.4058158561881,69.40569008167273,69.30530441613132,68.4375910697305,63.79096850179639,51.67206222456491,256.32585888225526,432.83328469706186
0.0555377006530761,26.3647058824,0.2950029969215393,0.217111074378,11,31,0.205646326892,71.32127567355417,56.17243383274382,69.54902147020755,69.40717429821166,69.40632959038453,64.25728230043944,62.81122339156815,58.166891470126416,51.67206222456491,256.32585888225526,432.83328469706186
0.0349849984049797,13.5272727273,0.0955938994884491,0.211432475637,11,32,0.199967728151,77.87418936858342,62.28133554297921,76.47959012707031,69.4061345899762,69.40595799102255,68.73939818421746,67.8281510646247,63.85893958544409,51.67206222456491,256.32585888225526,432.83328469706186
0.0395864993333816,10.4857142857,0.0994521006941795,0.22939635238,11,36,0.2350454787,77.20502416834972,61.562166047064295,75.8525027039247,69.40641082604611,69.40623236311791,68.81562322432865,67.80294332007912,63.09381487051036,51.67206222456491,256.32585888225526,432.83328469706186
0.0454205013811588,15.6,0.1631180047988892,0.232005822394,11,37,0.264354948715,74.36019153958381,58.81983959529822,72.87141731586803,69.40671806100198,69.4063739879121,67.35940749322765,66.1067062869464,60.50383368392744,51.67206222456491,256.32585888225526,432.83328469706186
0.0727220997214317,16.5689655172,0.2821570038795471,0.17358832755,11,38,0.400381475639,68.81985558646295,53.3021937670016,67.30179449833867,69.40781770881824,69.40705495511008,65.37070156978189,64.20902313235285,55.02196509061804,51.67206222456491,256.32585888225526,432.83328469706186
0.0521158017218112,14.972972973,0.1755550056695938,0.223418542972,11,40,0.321273426834,73.13116260665055,57.51948095363866,71.68650317149883,69.40702856293609,69.40661324876146,67.31376148606512,66.06597441329461,59.15602710748294,51.67206222456491,256.32585888225526,432.83328469706186
0.090567298233509,11.5609756098,0.1970230042934418,0.154189075137,11,44,0.269494383475,74.91462737394454,59.1843043258209,73.25013963882839,69.4083906495382,69.4076549322549,67.8196720138817,66.88725432627325,61.0667825402499,51.67206222456491,256.32585888225526,432.83328469706186
0.0728181004524231,11.264516129,0.1706960052251816,0.240755243488,11,45,0.250060485566,75.28456100576574,59.66371024171144,73.78469131266746,69.40782099584345,69.40729411236998,68.05174276713979,66.68833519280008,61.36073465359004,51.67206222456491,256.32585888225526,432.83328469706186
0.0385034009814262,12.4431818182,0.1062500029802322,0.231335434079,11,46,0.564228444642,70.59147413678562,54.60670109243989,69.661490131282,69.40634889933187,69.40615035829535,68.59925372920543,67.55082591938208,55.66996468786096,51.67206222456491,256.32585888225526,432.83328469706186
0.0447353981435298,28.7368421053,0.2186740040779114,0.256357870521,11,47,0.320188285715,70.8509056280468,55.484535498145874,69.40751398175183,69.40668402442509,69.40601134399981,65.75147387404195,64.2152312247544,57.117412819040965,51.67206222456491,256.32585888225526,432.83328469706186
0.1017460003495216,14.027027027,0.1930830031633377,0.204840100189,11,48,0.245517906331,75.3884349115246,59.71356862763975,73.79294924489511,69.40872144854785,69.40768671187425,68.07952120903815,66.82894839745978,61.51797012981979,51.67206222456491,256.32585888225526,432.83328469706186
0.0501804985105991,10.9315068493,0.0954670011997222,0.203940112626,11,49,0.233487491586,77.84132110305899,62.12405713316804,76.4716195727463,69.40694257585437,69.40665591128328,69.21779715949998,68.32503206094532,63.675582082892106,51.67206222456491,256.32585888225526,432.83328469706186
0.0411811992526054,15.3396226415,0.1180209964513779,0.212687388164,11,57,0.231713223199,76.66425804332084,61.04080246079872,75.22002392251926,69.40649896528396,69.40621596568957,68.3961543878774,67.3894364296533,62.67495289157489,51.67206222456491,256.32585888225526,432.83328469706186
