blddensity,bldheight,vertohor,grasscover,hour,Id,treecover,Tmrt_shortwave,Tmrt_longwave,Tmrt_combined,Tmrt0_vertohor,Tmrt0_grasscover,Tmrt0_treecover,Tmrt00,Eshort00,Elong00
0.0472569018602371,9.21428571429,0.0814751982688903,0.186039078926,14,2,0.542897915505,74.31059740217341,61.46536506378857,73.24014160876362,72.9974854288987,72.26706067091214,62.652037183212144,56.599412926828165,229.18882214889825,489.8336302650076
0.0304413996636867,10.0327868852,0.062252901494503,0.238956325807,14,3,0.590092559701,73.64515311773607,60.88468191355412,72.78187862458032,72.96599586886583,72.14017346019898,61.84298494996824,56.599412926828165,229.18882214889825,489.8336302650076
0.1593669950962067,10.8953068592,0.2747730016708374,0.151880551987,14,4,0.210035446303,75.81033806037533,63.12266964323095,73.88063813881371,70.5071480268067,69.43863031258877,65.24121262076022,56.599412926828165,229.18882214889825,489.8336302650076
0.0559497997164726,14.696969697,0.164805993437767,0.000900000000031,14,5,0.00630000000006,81.4463774420459,68.83592034943632,79.36762759842725,71.22554316584001,71.22090106690746,71.11012719051405,56.599412926828165,229.18882214889825,489.8336302650076
0.080512598156929,16.0,0.2093690037727356,0.00249319956434,14,6,0.00359999999987,80.98485842444376,68.30745766885576,78.74498597054435,70.83583857410042,70.82138628152433,70.75611626854754,56.599412926828165,229.18882214889825,489.8336302650076
0.1017230004072189,14.8306451613,0.2560510039329529,0.0,14,7,0.110944940597,78.39884787806272,65.6196985356595,76.11682734865485,70.20672994912059,70.20672994912059,68.11735090553339,56.599412926828165,229.18882214889825,489.8336302650076
0.0918527990579605,9.34969325153,0.1424449980258942,0.00450000000003,14,8,0.0,82.99241341357026,70.27982237035161,80.97711219707168,72.50992198515434,72.48693580577827,72.48693580577827,56.599412926828165,229.18882214889825,489.8336302650076
0.0961050018668174,12.7724550898,0.2035650014877319,0.00179999999994,14,10,0.433809875085,73.98682672100688,60.98467792069454,72.17863282020181,71.28235425745072,71.27181848242577,62.978572713575886,56.599412926828165,229.18882214889825,489.8336302650076
0.1589920073747635,10.5663716814,0.3012189865112305,0.14893422523,14,11,0.36820754402,72.03814945336654,59.38260205367692,70.34984543865392,69.95800132337638,68.89501092044952,61.24163855640029,56.599412926828165,229.18882214889825,489.8336302650076
0.0533148981630802,13.7943925234,0.12533999979496,0.00270000000009,14,12,0.00719999999991,82.51082440902968,69.90708097857993,80.59805713957735,72.13749816550211,72.12499311066523,72.00210847150186,56.599412926828165,229.18882214889825,489.8336302650076
